Domain Name                                                      	Current Bid 	Join By Date (ET)	Join By Date (PT)	Bidders 	Seller         	TLD     	Length	Words                                                                           	Word Count	Categories                                                                                                      	Hyphens 	Numbers 	Auction Type
filmmall.com                                                     	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	BigRock Solutio	.com    	     8	film mall                                                                       	          	Entertainment Shopping                                                                                          	No      	No      	Available Soon
gelistirme.com                                                   	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Reg2c.com (R)  	.com    	    10	                                                                                	          	                                                                                                                	No      	No      	Available Soon
hdmm.net                                                         	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
jkbz.net                                                         	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
jndd.net                                                         	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
locn.com                                                         	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Moniker(R)     	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
moneysoftware.com                                                	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	    13	                                                                                	          	                                                                                                                	No      	No      	Available Soon
petthings.com                                                    	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	BigRock Solutio	.com    	     9	pet things                                                                      	          	                                                                                                                	No      	No      	Available Soon
scholars.net                                                     	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Moniker(R)     	.net    	     8	scholars                                                                        	          	Education                                                                                                       	No      	No      	Available Soon
whirr.com                                                        	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Moniker(R)     	.com    	     5	whirr                                                                           	          	                                                                                                                	No      	No      	Available Soon
xcln.net                                                         	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
cfxg.net                                                         	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
i3theme.com                                                      	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	BlueHost.com   	.com    	     7	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
lymn.net                                                         	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	TierraNet(R)   	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
mspf.net                                                         	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	TierraNet(R)   	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
mylittleunderground.net                                          	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	Tucows Inc.(R) 	.net    	    19	                                                                                	          	                                                                                                                	No      	No      	Available Soon
quinnlaw.com                                                     	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	Tucows Inc.(R) 	.com    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
rvnn.com                                                         	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	BigRock Solutio	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
zblx.net                                                         	         69 	 12/21/2015 00:00	 12/20/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
2012.biz                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.biz    	     4	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
808399.com                                                       	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
8956.biz                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.biz    	     4	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
lbzt.net                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
lyws.net                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
nllh.net                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
nsystem.com                                                      	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Dotster.com (R)	.com    	     7	                                                                                	          	                                                                                                                	No      	No      	Available Soon
rockthat.com                                                     	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Moniker(R)     	.com    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
wzq.biz                                                          	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	Directi(R)     	.biz    	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
xvay.com                                                         	         69 	 12/22/2015 00:00	 12/21/2015 21:00	        	OnlineNIC(R)   	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
281488.com                                                       	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
882116.com                                                       	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	JapanReg       	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
beatgadget.com                                                   	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Directi(R)     	.com    	    10	                                                                                	          	                                                                                                                	No      	No      	Available Soon
cghw.com                                                         	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Launchpad Inc.(	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
idju.com                                                         	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Moniker(R)     	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
jrqp.net                                                         	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
localrealestatevalues.com                                        	         69 	 12/23/2015 00:00	 12/22/2015 21:00	        	Moniker(R)     	.com    	    21	                                                                                	          	                                                                                                                	No      	No      	Available Soon
